reg_1	7098.1	2058.1
fuse_1	5325.9	5509.6
fuse_2	8836.1	3759.5
fuse_3	8757.4	3247.1
fuse_4	4878.1	5457.0
fuse_5	5070.8	5456.6
fuse_6	5676.1	6222.8
fuse_7	5995.0	5407.0
fuse_8	7077.4	5110.9
fuse_9	6813.8	5869.1
fuse_10	6578.4	5337.5
fuse_11	3753.2	5265.0
fuse_12	4758.2	3346.7
fuse_13	6248.9	3572.8
fuse_14	5858.9	3808.8
fuse_15	6108.2	3977.8
fuse_16	4219.2	5971.8
fuse_17	5552.9	5490.0
fuse_18	5890.6	4645.7
fuse_19	6116.4	4344.1
fuse_20	7716.2	4859.3
fuse_21	4590.4	1637.9
fuse_22	3660.3	6228.6
fuse_23	6178.5	6171.3
fuse_24	5435.4	4168.9
fuse_25	4309.9	8560.2
fuse_26	4290.8	6629.7
fuse_27	3952.0	4581.8
fuse_28	3243.9	3411.7
load_1	5784.8	5602.6
meter_1	5466.8	5606.2
meter_2	6918.9	2184.1
node_1	4416.9	6594.0
node_2	6512.0	2529.1
node_3	6609.5	2300.4
node_4	1147.4	7325.6
node_5	1094.7	6812.4
node_6	941.2	6305.3
node_7	1109.5	6504.7
node_8	1754.3	5454.4
node_9	2622.7	5153.4
node_10	1759.0	4138.5
node_11	6138.1	3108.9
node_12	6116.3	3401.7
node_13	6000.1	3962.5
node_14	6246.5	5977.5
node_15	5952.5	4242.4
node_16	5684.6	6063.4
node_17	5603.2	4669.9
node_18	3920.7	6173.2
node_19	4016.5	5951.8
node_20	5388.7	4832.4
node_21	2849.6	5221.5
node_22	3958.7	5650.4
node_23	3969.6	5336.4
node_24	4168.8	5117.5
node_25	5612.9	4959.1
node_26	4929.9	4615.6
node_27	3753.4	8361.1
node_28	3913.1	8201.7
node_29	4472.9	4162.0
node_30	4674.3	3960.0
node_31	4901.1	3523.7
node_32	4719.7	3630.2
node_33	4646.9	2812.3
node_34	4658.0	1172.0
node_35	4407.9	6929.8
node_36	3187.9	6564.4
node_37	4567.3	2311.1
node_38	4498.9	1846.7
node_39	5375.3	3676.8
node_40	5352.0	4424.4
node_41	5177.5	4556.5
node_42	4850.5	5931.5
node_43	5183.5	4834.7
node_44	3843.8	3867.5
